"subject_id","site_group","swab_1","swab_2","spearman_rho","swab_pair"
"S003","Antecubital","Puritan_buffer","Puritan_gel",0.765165740579765,"Puritan_buffer - Puritan_gel"
"S003","Antecubital","Omni","Copan",0.891943554900052,"Copan - Omni"
"S003","Antecubital","Omni","Puritan_gel",0.783565671556957,"Omni - Puritan_gel"
"S003","Antecubital","Copan","Puritan_gel",0.83286202342809,"Copan - Puritan_gel"
"S004","Antecubital","Eswab","Puritan_buffer",0.771256802230531,"Eswab - Puritan_buffer"
"S004","Antecubital","Eswab","Omni",0.858969598165167,"Eswab - Omni"
"S004","Antecubital","Eswab","Copan",0.838661210117479,"Copan - Eswab"
"S004","Antecubital","Eswab","Puritan_gel",0.628571428571429,"Eswab - Puritan_gel"
"S004","Antecubital","Puritan_buffer","Omni",0.846067052771822,"Omni - Puritan_buffer"
"S004","Antecubital","Puritan_buffer","Copan",0.683101290382944,"Copan - Puritan_buffer"
"S004","Antecubital","Puritan_buffer","Puritan_gel",0.71557582333779,"Puritan_buffer - Puritan_gel"
"S004","Antecubital","Omni","Copan",0.86117381489842,"Copan - Omni"
"S004","Antecubital","Omni","Puritan_gel",0.770214420771568,"Omni - Puritan_gel"
"S004","Antecubital","Copan","Puritan_gel",0.80707038426552,"Copan - Puritan_gel"
"S005","Antecubital","Eswab","Puritan_buffer",0.720129275806051,"Eswab - Puritan_buffer"
"S005","Antecubital","Eswab","Omni",0.544580282978866,"Eswab - Omni"
"S005","Antecubital","Eswab","Copan",0.726758825975629,"Copan - Eswab"
"S005","Antecubital","Eswab","Puritan_gel",0.474028345391983,"Eswab - Puritan_gel"
"S005","Antecubital","Puritan_buffer","Omni",0.869302667577282,"Omni - Puritan_buffer"
"S005","Antecubital","Puritan_buffer","Copan",0.621029868517065,"Copan - Puritan_buffer"
"S005","Antecubital","Puritan_buffer","Puritan_gel",0.730677345580064,"Puritan_buffer - Puritan_gel"
"S005","Antecubital","Omni","Copan",0.624994601789096,"Copan - Omni"
"S005","Antecubital","Omni","Puritan_gel",0.763224941844841,"Omni - Puritan_gel"
"S005","Antecubital","Copan","Puritan_gel",0.706506329507353,"Copan - Puritan_gel"
"S001","Forehead","Eswab","Puritan_buffer",0.64028327901911,"Eswab - Puritan_buffer"
"S001","Forehead","Eswab","Omni",0.685300207039338,"Eswab - Omni"
"S001","Forehead","Eswab","Copan",0.6045389405859,"Copan - Eswab"
"S001","Forehead","Eswab","Puritan_gel",0.64028327901911,"Eswab - Puritan_gel"
"S001","Forehead","Puritan_buffer","Omni",0.853379113715983,"Omni - Puritan_buffer"
"S001","Forehead","Puritan_buffer","Copan",0.855554916761575,"Copan - Puritan_buffer"
"S001","Forehead","Puritan_buffer","Puritan_gel",0.904693486590038,"Puritan_buffer - Puritan_gel"
"S001","Forehead","Omni","Copan",0.930951339815986,"Copan - Omni"
"S001","Forehead","Omni","Puritan_gel",0.957935481207439,"Omni - Puritan_gel"
"S001","Forehead","Copan","Puritan_gel",0.95588057475316,"Copan - Puritan_gel"
"S002","Forehead","Eswab","Puritan_buffer",0.911298068135268,"Eswab - Puritan_buffer"
"S002","Forehead","Eswab","Omni",0.877740486800022,"Eswab - Omni"
"S002","Forehead","Eswab","Copan",0.81666694635773,"Copan - Eswab"
"S002","Forehead","Eswab","Puritan_gel",0.762227102504444,"Eswab - Puritan_gel"
"S002","Forehead","Puritan_buffer","Omni",0.869252873563219,"Omni - Puritan_buffer"
"S002","Forehead","Puritan_buffer","Copan",0.827686678430579,"Copan - Puritan_buffer"
"S002","Forehead","Puritan_buffer","Puritan_gel",0.777192231048604,"Puritan_buffer - Puritan_gel"
"S002","Forehead","Omni","Copan",0.910362452145867,"Copan - Omni"
"S002","Forehead","Omni","Puritan_gel",0.850024055413208,"Omni - Puritan_gel"
"S002","Forehead","Copan","Puritan_gel",0.967491339017073,"Copan - Puritan_gel"
"S003","Forehead","Eswab","Puritan_buffer",0.663989078887219,"Eswab - Puritan_buffer"
"S003","Forehead","Eswab","Omni",0.572972972972973,"Eswab - Omni"
"S003","Forehead","Eswab","Copan",0.648388557893893,"Copan - Eswab"
"S003","Forehead","Eswab","Puritan_gel",0.73553282796116,"Eswab - Puritan_gel"
"S003","Forehead","Puritan_buffer","Omni",0.545083233199968,"Omni - Puritan_buffer"
"S003","Forehead","Puritan_buffer","Copan",0.859239633194807,"Copan - Puritan_buffer"
"S003","Forehead","Puritan_buffer","Puritan_gel",0.910298498649403,"Puritan_buffer - Puritan_gel"
"S003","Forehead","Omni","Copan",0.55402214805957,"Copan - Omni"
"S003","Forehead","Omni","Puritan_gel",0.605732917144484,"Omni - Puritan_gel"
"S003","Forehead","Copan","Puritan_gel",0.935646572349193,"Copan - Puritan_gel"
"S004","Forehead","Eswab","Puritan_buffer",0.830248267424983,"Eswab - Puritan_buffer"
"S004","Forehead","Eswab","Omni",0.779909570187918,"Eswab - Omni"
"S004","Forehead","Eswab","Copan",0.669011851315743,"Copan - Eswab"
"S004","Forehead","Eswab","Puritan_gel",0.791356383840382,"Eswab - Puritan_gel"
"S004","Forehead","Puritan_buffer","Omni",0.95011582138369,"Omni - Puritan_buffer"
"S004","Forehead","Puritan_buffer","Copan",0.81585486548786,"Copan - Puritan_buffer"
"S004","Forehead","Puritan_buffer","Puritan_gel",0.879064996236461,"Puritan_buffer - Puritan_gel"
"S004","Forehead","Omni","Copan",0.823796114952939,"Copan - Omni"
"S004","Forehead","Omni","Puritan_gel",0.917043740573152,"Omni - Puritan_gel"
"S004","Forehead","Copan","Puritan_gel",0.861446760060477,"Copan - Puritan_gel"
"S005","Forehead","Eswab","Puritan_buffer",0.538461538461538,"Eswab - Puritan_buffer"
"S005","Forehead","Eswab","Omni",0.575105341803722,"Eswab - Omni"
"S005","Forehead","Eswab","Copan",0.571463848063567,"Copan - Eswab"
"S005","Forehead","Eswab","Puritan_gel",0.757518497354536,"Eswab - Puritan_gel"
"S005","Forehead","Puritan_buffer","Omni",0.813079965998366,"Omni - Puritan_buffer"
"S005","Forehead","Puritan_buffer","Copan",0.667501522529805,"Copan - Puritan_buffer"
"S005","Forehead","Puritan_buffer","Puritan_gel",0.861842730289282,"Puritan_buffer - Puritan_gel"
"S005","Forehead","Omni","Copan",0.876854404211664,"Copan - Omni"
"S005","Forehead","Omni","Puritan_gel",0.863681623022017,"Omni - Puritan_gel"
"S005","Forehead","Copan","Puritan_gel",0.798259415252914,"Copan - Puritan_gel"
