"Type 1","Type 2","Type 3","Type 4","Type 5","taxon_id","Genus"
TRUE,FALSE,TRUE,FALSE,TRUE,"21aa4b4f658decb90eb33740ce2886c0","[Eubacterium]_brachy_group"
FALSE,FALSE,TRUE,TRUE,FALSE,"a13dce895add088f18d0e430280854b1","Romboutsia"
TRUE,FALSE,TRUE,TRUE,TRUE,"94280c1f9f716fbaaac5ea7d1925a3ac","Peptostreptococcus"
FALSE,FALSE,FALSE,FALSE,TRUE,"054a3d89b18fe9efb721eae0b64f969b","Filifactor"
FALSE,TRUE,FALSE,FALSE,FALSE,"6726658e6ed1b518f3cdae63d51007c1","Proteocatella"
TRUE,FALSE,TRUE,FALSE,FALSE,"18ceb20f4a0682ada2a5849583d8a6eb","Clostridium_sensu_stricto_1"
TRUE,TRUE,FALSE,FALSE,FALSE,"71c05ef4f89bfda417762c6a3a199da5","Fusobacterium"
FALSE,TRUE,FALSE,TRUE,FALSE,"a5dd882b4a1e48909e5c51966530bf29","Turicibacter"
TRUE,FALSE,TRUE,FALSE,FALSE,"92439753fa9d8bf5da75e3ee7c14e69f","Anaeroplasma"
FALSE,FALSE,TRUE,FALSE,FALSE,"73948445c2534487d73c1402eb9ca852","Bulleidia"
TRUE,TRUE,FALSE,TRUE,FALSE,"777af065fba986b3744a73d72c79c51d","Solobacterium"
TRUE,TRUE,TRUE,TRUE,TRUE,"dc4c06e76c80792a6dd6a5170e96a392","Streptococcus"
TRUE,FALSE,FALSE,TRUE,FALSE,"e075d7d3b6ae899ef1e8ccba4cd5114e","Lactococcus"
TRUE,TRUE,TRUE,TRUE,TRUE,"46ec4ed0a75b0fcf231f1e4ff262fa8d","P5D1-392"
TRUE,FALSE,FALSE,TRUE,FALSE,"ee5be990233f99eded70433e365148ee","Lactobacillales_o"
FALSE,FALSE,TRUE,FALSE,FALSE,"d0bbb3cf6f8c4d7a6fdd6a81d94daa81","Marinilactibacillus"
