"Type 1","Type 2","Type 3","Type 4","Type 5","taxon_id","Genus"
TRUE,TRUE,TRUE,TRUE,TRUE,"515ecf421a951bc274a7daaa791dc894","Paracoccus"
FALSE,FALSE,TRUE,FALSE,TRUE,"b42d663cf6e4bf6e9916cf88ac74a818","Rhizobiaceae_f"
TRUE,FALSE,FALSE,FALSE,FALSE,"9366c1f1fa59361f62f702f094ae0c21","Aliihoeflea"
TRUE,TRUE,TRUE,TRUE,FALSE,"c213f9d573bc251e6187c95f276feca6","Shinella"
TRUE,TRUE,FALSE,FALSE,FALSE,"b7b3626747fe84c91b5f419eea29bbdf","Ensifer"
TRUE,TRUE,TRUE,FALSE,FALSE,"6cba61242453f471b9c15fdcb5026986","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
FALSE,FALSE,TRUE,TRUE,FALSE,"8bad83080a2375457f0c9a882b0518b9","Devosia"
FALSE,TRUE,FALSE,FALSE,FALSE,"49bd242006920acb2126ab0ceac5df84","D05-2"
FALSE,FALSE,FALSE,TRUE,FALSE,"1e143504935212a1de58af7db86e9075","Alphaproteobacteria_c"
TRUE,TRUE,TRUE,FALSE,FALSE,"baec25fd95d764324fe292e10e6f1620","Sphingomonas"
FALSE,TRUE,FALSE,FALSE,FALSE,"6d6ea94f2c732bf7767af01e1308cb38","Rhizorhapis"
TRUE,TRUE,FALSE,FALSE,TRUE,"6e52e1651130d2a07800abe723ea721e","Sphingomonadaceae_f"
FALSE,FALSE,TRUE,TRUE,TRUE,"84739218645d09374bcecea50306c590","Sphingobium"
FALSE,TRUE,TRUE,FALSE,FALSE,"7a1929bf9979112b01541e3fc354d129","Qipengyuania"
FALSE,FALSE,TRUE,TRUE,FALSE,"c25c933a077c8f1489487077ae49d897","Novosphingobium"
FALSE,FALSE,FALSE,TRUE,FALSE,"abdb10ef959af94d4fc7574d556e3633","Rickettsia"
FALSE,FALSE,FALSE,FALSE,TRUE,"97402210ae7735706d9a9a42b71b8fda","Acetobacteraceae_f"
TRUE,FALSE,FALSE,FALSE,TRUE,"49bf16e6c356ce0fafd1a644e47ce762","Bacteria_k"
FALSE,FALSE,TRUE,FALSE,TRUE,"1b5f84de8f1ac02d81de16f9b8ae2d0e","Roseomonas"
FALSE,FALSE,TRUE,TRUE,FALSE,"76c7175da051546f4e9a9e16b80491d0","Craurococcus-Caldovatus"
TRUE,FALSE,FALSE,FALSE,FALSE,"fe64ec7791e1fcd2d40f449b7ec5b4bb","Muricoccus"
FALSE,FALSE,FALSE,FALSE,TRUE,"abd0febc117d23cd49b9d4ef431153bc","Rhodovarius"
TRUE,FALSE,FALSE,FALSE,FALSE,"bc9fce29d86dd59b106f60bd7b227020","Belnapia"
TRUE,FALSE,FALSE,FALSE,FALSE,"670ff01449495039c6e52f5f0fe307b1","Acidocella"
FALSE,TRUE,FALSE,FALSE,FALSE,"639fa34b4e7141c951ee83fd68fe2b47","Gluconacetobacter"
TRUE,FALSE,FALSE,TRUE,FALSE,"67ea33e6e92c2b3175cf2c5bd905476b","Acetobacter"
FALSE,FALSE,TRUE,FALSE,FALSE,"58eb82260a9cf04183552f4c539e2fac","Stenotrophomonas"
FALSE,TRUE,TRUE,TRUE,FALSE,"0cbd1ae79969bad86b80d96bf2b6b814","Luteimonas"
FALSE,TRUE,FALSE,FALSE,FALSE,"eca7f723fb8b7b170b6f546b650537f7","Thauera"
TRUE,TRUE,TRUE,TRUE,FALSE,"82504c984bcb5a584c737c78906bd2bf","Massilia"
FALSE,FALSE,TRUE,FALSE,FALSE,"6899a05aba1c79bb03f4b1df326b5884","Neisseria"
FALSE,FALSE,TRUE,FALSE,FALSE,"55129a90f08f521cd6bd80a65b8308fc","Methylophilus"
TRUE,TRUE,TRUE,TRUE,TRUE,"19045d0398e54e66ed333ad6780ae0d4","Neisseriaceae_f"
TRUE,FALSE,FALSE,FALSE,FALSE,"5f52a8f708db5f6885b892c90f153983","Hydrogenophilus"
TRUE,FALSE,FALSE,FALSE,FALSE,"906baa19422f87b92ad2957fae66a741","Methyloversatilis"
FALSE,TRUE,FALSE,FALSE,FALSE,"1fe1d90a93ffe8b8c2b7b32be0e750ea","Cupriavidus"
FALSE,FALSE,FALSE,TRUE,FALSE,"806198a51c28a0e3cbb56fd6251ea18e","Comamonas"
TRUE,FALSE,TRUE,FALSE,FALSE,"30d17b384b5e354005c2cb37d6aaf069","Comamonadaceae_f"
TRUE,TRUE,FALSE,FALSE,FALSE,"ec6e497c2bea91ad44fad5bd08f3a5d2","Xenophilus"
FALSE,FALSE,TRUE,FALSE,FALSE,"abd916b960b81098025c1ca1755c6cc3","Variovorax"
TRUE,TRUE,FALSE,FALSE,TRUE,"b510eab43bc2ae3ce44ca3332afb6774","Acidovorax"
FALSE,TRUE,FALSE,FALSE,FALSE,"a4bfcc56025d3266ec1c86c82e266e12","Aquabacterium"
TRUE,FALSE,FALSE,FALSE,TRUE,"403eadaf52132415552a3a9990cf2070","Tepidimonas"
FALSE,TRUE,FALSE,FALSE,FALSE,"394b62243678d5f00cbfb8f1c4a6ee6d","Schlegelella"
TRUE,FALSE,FALSE,TRUE,FALSE,"da903c8d827a0808b8325dd9585b5c08","Burkholderia-Caballeronia-Paraburkholderia"
TRUE,TRUE,FALSE,FALSE,FALSE,"84b98c898e7a9a2d3f9b1be2df4908c7","Lautropia"
FALSE,FALSE,TRUE,FALSE,FALSE,"94d3ada8c73a636337fccb769efa8b28","Enterobacterales_o"
FALSE,TRUE,TRUE,FALSE,FALSE,"a2e29f5d7001469edc6a394262a51f75","Erwiniaceae_f"
FALSE,TRUE,TRUE,FALSE,FALSE,"5e28fbbd337c610b6bc1e4b000c0342f","Enterobacteriaceae_f"
FALSE,FALSE,FALSE,FALSE,TRUE,"e50d17ad0dc1144b6adebdcc150f3b51","Pantoea"
FALSE,TRUE,FALSE,FALSE,FALSE,"3444f19e0cb194dfbd485cc396c59f71","Haemophilus"
TRUE,TRUE,TRUE,TRUE,TRUE,"5325c97ed1a497a5a586815b59aed735","Enhydrobacter"
TRUE,TRUE,TRUE,FALSE,FALSE,"5d7c35adf23e3104ee8e2886a1194c17","Acinetobacter"
TRUE,TRUE,FALSE,TRUE,FALSE,"2c87af46c878a9884a0e448e106cfe42","Pseudomonas"
FALSE,FALSE,FALSE,FALSE,TRUE,"fadf24138f6bd36ac33ba59dafc1be2b","Thiopseudomonas"
FALSE,TRUE,FALSE,FALSE,FALSE,"ed198d2e3e59eb9b4f0cef8d45e05e98","Myxococcaceae_f"
TRUE,FALSE,FALSE,FALSE,FALSE,"543ac8da8a84103fde70c9ee9ccf3aeb","Atopobium"
TRUE,TRUE,FALSE,FALSE,FALSE,"2dba47ded95ae634746f33d9c695e7f9","Armatimonadales"
TRUE,FALSE,FALSE,FALSE,FALSE,"b6490793b61729fade75800b9a5746ab","Hydrogenobacter"
TRUE,FALSE,FALSE,FALSE,FALSE,"aeecfb2e13eb0e176bff7d58e44422f9","Abditibacterium"
FALSE,FALSE,FALSE,FALSE,TRUE,"d78c7661f8e59acd50c80e8f2fd19582","Fimbriiglobus"
