"Type 1","Type 2","Type 3","Type 4","Type 5","taxon_id","Genus"
FALSE,FALSE,FALSE,TRUE,FALSE,"20f150dfe46c537edc5310399040afb8","Caulobacteraceae"
FALSE,FALSE,TRUE,FALSE,FALSE,"0adf67a3e396926259316a14f66e7ca1","Brevundimonas"
FALSE,TRUE,FALSE,TRUE,TRUE,"e04521050f0d75fa388bddc4f2f34e56","Caulobacter"
TRUE,FALSE,FALSE,FALSE,TRUE,"d31a407f8ea48b0ffb218c273e96aca7","Phenylobacterium"
FALSE,FALSE,FALSE,TRUE,FALSE,"3e50658e9b489006be4573114ca22b59","Rubellimicrobium"
TRUE,TRUE,TRUE,TRUE,TRUE,"65c9fb2233a8c0d21e99ba69d13d1e6d","Haematobacter"
FALSE,FALSE,TRUE,TRUE,FALSE,"cec2b7d32bc35658a948ffb4c0357677","Amaricoccus"
TRUE,TRUE,TRUE,TRUE,TRUE,"515ecf421a951bc274a7daaa791dc894","Paracoccus"
FALSE,TRUE,FALSE,FALSE,FALSE,"adcae3f5a43e4dca840c01d62e6416a5","Pleomorphomonas"
FALSE,TRUE,FALSE,FALSE,FALSE,"e9725fc74685ef05a1ba39435294042c","Pseudaminobacter"
FALSE,TRUE,FALSE,FALSE,FALSE,"cea0a6f8b58238977831021560f03baf","Aminobacter"
TRUE,TRUE,TRUE,TRUE,TRUE,"b42d663cf6e4bf6e9916cf88ac74a818","Rhizobiaceae_f"
FALSE,FALSE,FALSE,TRUE,FALSE,"35d4cbfddf6c9639a996a7877cd4f0f2","Ciceribacter"
TRUE,FALSE,TRUE,TRUE,FALSE,"c213f9d573bc251e6187c95f276feca6","Shinella"
TRUE,TRUE,TRUE,TRUE,FALSE,"b7b3626747fe84c91b5f419eea29bbdf","Ensifer"
TRUE,TRUE,TRUE,TRUE,FALSE,"cb87c4f867a6bf086284e61be0ec2f63","Aureimonas"
TRUE,TRUE,TRUE,TRUE,FALSE,"6cba61242453f471b9c15fdcb5026986","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
FALSE,TRUE,TRUE,TRUE,FALSE,"da9d2bcf5ad7eb890398dee9beaf9949","Devosiaceae_f"
TRUE,TRUE,TRUE,TRUE,FALSE,"8bad83080a2375457f0c9a882b0518b9","Devosia"
TRUE,TRUE,TRUE,TRUE,TRUE,"baec25fd95d764324fe292e10e6f1620","Sphingomonas"
FALSE,FALSE,FALSE,TRUE,FALSE,"89080b3c5ba6bf78d58df159a692470f","MN_122.2a"
TRUE,TRUE,TRUE,TRUE,TRUE,"6e52e1651130d2a07800abe723ea721e","Sphingomonadaceae_f"
TRUE,FALSE,TRUE,TRUE,TRUE,"84739218645d09374bcecea50306c590","Sphingobium"
FALSE,TRUE,FALSE,TRUE,TRUE,"7a1929bf9979112b01541e3fc354d129","Qipengyuania"
TRUE,FALSE,TRUE,TRUE,TRUE,"c25c933a077c8f1489487077ae49d897","Novosphingobium"
FALSE,TRUE,FALSE,TRUE,TRUE,"84f932f291b157ef5aaf93a5ea82ebb2","Sphingopyxis"
TRUE,TRUE,FALSE,TRUE,FALSE,"aa57923408765fc46bc15cbeaa7491a6","Skermanella"
TRUE,TRUE,TRUE,TRUE,TRUE,"97402210ae7735706d9a9a42b71b8fda","Acetobacteraceae_f"
TRUE,TRUE,TRUE,TRUE,TRUE,"1b5f84de8f1ac02d81de16f9b8ae2d0e","Roseomonas"
FALSE,TRUE,FALSE,FALSE,FALSE,"fe64ec7791e1fcd2d40f449b7ec5b4bb","Muricoccus"
FALSE,FALSE,TRUE,FALSE,FALSE,"639fa34b4e7141c951ee83fd68fe2b47","Gluconacetobacter"
TRUE,TRUE,FALSE,FALSE,FALSE,"75195c7c5253e5a13cb2176aa9f782c2","Asaia"
FALSE,FALSE,FALSE,TRUE,FALSE,"40b48ec694b884aa93cc33fbfb00d625","Kozakia"
TRUE,TRUE,TRUE,TRUE,FALSE,"67ea33e6e92c2b3175cf2c5bd905476b","Acetobacter"
TRUE,TRUE,TRUE,FALSE,FALSE,"9e3c906dc28276c52554085ff636a2a8","Rickettsiella"
FALSE,TRUE,FALSE,FALSE,FALSE,"66b7507662a94e6fba998da71404a5b8","Nevskia"
FALSE,FALSE,TRUE,FALSE,FALSE,"64c6c9854a1938f12b659f40a0f6a954","Vulcaniibacterium"
TRUE,FALSE,TRUE,TRUE,FALSE,"4599f62c522946dffd848e0b0d9fca4b","Xanthomonas"
FALSE,TRUE,FALSE,FALSE,FALSE,"342ce74435d2330505ee013a1e0cfe40","Pseudoxanthomonas"
TRUE,TRUE,TRUE,TRUE,FALSE,"58eb82260a9cf04183552f4c539e2fac","Stenotrophomonas"
FALSE,TRUE,FALSE,FALSE,FALSE,"b49c1c742ff9a26c0ce116574c094ea7","SN8"
FALSE,TRUE,FALSE,TRUE,FALSE,"0cbd1ae79969bad86b80d96bf2b6b814","Luteimonas"
FALSE,FALSE,FALSE,FALSE,TRUE,"d8b64490de90a224be2172096edcb67b","Xanthomonadaceae_f"
FALSE,FALSE,TRUE,TRUE,FALSE,"a7382b45b4ef915003f6e6983632974f","Lysobacter"
TRUE,FALSE,FALSE,FALSE,FALSE,"ec788ffe7eee824ad4c2d4519f2eb96b","Burkholderiales_o"
TRUE,TRUE,FALSE,TRUE,TRUE,"82504c984bcb5a584c737c78906bd2bf","Massilia"
TRUE,TRUE,FALSE,FALSE,TRUE,"6899a05aba1c79bb03f4b1df326b5884","Neisseria"
TRUE,FALSE,FALSE,TRUE,TRUE,"19045d0398e54e66ed333ad6780ae0d4","Neisseriaceae_f"
FALSE,TRUE,FALSE,FALSE,FALSE,"5f52a8f708db5f6885b892c90f153983","Hydrogenophilus"
FALSE,FALSE,FALSE,TRUE,TRUE,"906baa19422f87b92ad2957fae66a741","Methyloversatilis"
TRUE,FALSE,FALSE,FALSE,FALSE,"1fe1d90a93ffe8b8c2b7b32be0e750ea","Cupriavidus"
FALSE,FALSE,TRUE,FALSE,TRUE,"b03c414290fa278a0f09d9b4c819ac40","Ralstonia"
FALSE,TRUE,FALSE,TRUE,FALSE,"67ebdb997e828699fa913b0ed18ba924","Ottowia"
FALSE,TRUE,FALSE,FALSE,FALSE,"806198a51c28a0e3cbb56fd6251ea18e","Comamonas"
FALSE,FALSE,FALSE,TRUE,FALSE,"30d17b384b5e354005c2cb37d6aaf069","Comamonadaceae_f"
FALSE,FALSE,TRUE,FALSE,FALSE,"a36f517260cdac623044af72be907f03","Delftia"
FALSE,FALSE,TRUE,FALSE,FALSE,"ec6e497c2bea91ad44fad5bd08f3a5d2","Xenophilus"
TRUE,FALSE,TRUE,FALSE,FALSE,"b510eab43bc2ae3ce44ca3332afb6774","Acidovorax"
FALSE,TRUE,FALSE,TRUE,FALSE,"a4bfcc56025d3266ec1c86c82e266e12","Aquabacterium"
FALSE,FALSE,FALSE,TRUE,FALSE,"403eadaf52132415552a3a9990cf2070","Tepidimonas"
FALSE,FALSE,TRUE,FALSE,FALSE,"c16bda45083cf985cb674a0320788363","Pelomonas"
FALSE,FALSE,FALSE,TRUE,FALSE,"394b62243678d5f00cbfb8f1c4a6ee6d","Schlegelella"
