"ASV"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"	"Abundance.TrueSample"	"Abundance.Control"	"Prevalence.TrueSample"	"Prevalence.Control"	"PrevalencePercent.TrueSample"	"PrevalencePercent.Control"	"contam_th01"	"contam_th02"	"contam_th03"	"contam_th04"	"contam_th05"	"contam_th06"	"contam_th07"	"contam_th08"	"contam_th09"
"46"	"aa6114f21305efc108a797e0f11b1c6b"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Actinomycetales"	"Actinomycetaceae"	"Actinomyces"	"Actinomyces_g"	5.54692700244065e-06	0	1	0	2	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
"47"	"e5dbba6a0bab6282834e5a1d07c9d15c"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Actinomycetales"	"Actinomycetaceae"	"Actinomyces"	"Actinomyces_g"	0.000571243707977377	0	3	0	6	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
"48"	"e0149147e75d7ce43fb933adea48ae7d"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Actinomycetales"	"Actinomycetaceae"	"Actinomyces"	"Actinomyces_g"	2.91246426837819e-05	0	1	0	2	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
"49"	"12166a5b0d932270f5123713f39afc4f"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Actinomycetales"	"Actinomycetaceae"	"Actinomyces"	"Actinomyces_g"	1.87639263515891e-05	0	1	0	2	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
"50"	"d446fb3fab728c97fcdfcb43471a1ca3"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Actinomycetales"	"Actinomycetaceae"	"Actinomyces"	"Actinomyces_g"	0.000142681937658014	0	4	0	8	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
"51"	"4796c398c36fe1a5150f394dacfdc43a"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Actinomycetales"	"Actinomycetaceae"	"Actinomyces"	"Actinomyces_g"	2.26524998651637e-05	0	1	0	2	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
"52"	"ac11709ab52cb834e916bfa1567a05cf"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Actinomycetales"	"Actinomycetaceae"	"Actinomyces"	"Actinomyces_g"	3.43329220535379e-05	0	1	0	2	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
"53"	"b4b5bc5494038ab50066faf48f1f6c4d"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Actinomycetales"	"Actinomycetaceae"	"Actinomyces"	"Actinomyces_g"	2.8350363239029e-05	0	1	0	2	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
"54"	"8d3ddb539e4a77102f61a40b705d4861"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Actinomycetales"	"Actinomycetaceae"	"Actinomyces"	"Actinomyces_g"	1.21288177615932e-05	0	2	0	4	0	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE
"55"	"595823dfc9e5dcc4e87a8211896edaf4"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Actinomycetales"	"Actinomycetaceae"	"Actinomyces"	"Actinomyces_g"	1.36683909813827e-05	0	2	0	4	0	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE
