"Type 1","Type 2","Type 3","Type 4","Type 5","taxon_id","Genus","subset","filtering"
TRUE,FALSE,TRUE,FALSE,FALSE,"18ceb20f4a0682ada2a5849583d8a6eb","Clostridium_sensu_stricto_1","Total","No abundance filtering"
TRUE,FALSE,FALSE,FALSE,FALSE,"d5a4ec4339c4955f94811de7690ef425","Leptotrichia","Total","No abundance filtering"
TRUE,TRUE,TRUE,FALSE,TRUE,"71c05ef4f89bfda417762c6a3a199da5","Fusobacterium","Total","No abundance filtering"
FALSE,TRUE,TRUE,TRUE,TRUE,"a5dd882b4a1e48909e5c51966530bf29","Turicibacter","Total","No abundance filtering"
TRUE,FALSE,TRUE,FALSE,FALSE,"92439753fa9d8bf5da75e3ee7c14e69f","Anaeroplasma","Total","No abundance filtering"
FALSE,FALSE,TRUE,FALSE,FALSE,"73948445c2534487d73c1402eb9ca852","Bulleidia","Total","No abundance filtering"
TRUE,TRUE,FALSE,TRUE,TRUE,"777af065fba986b3744a73d72c79c51d","Solobacterium","Total","No abundance filtering"
FALSE,TRUE,FALSE,FALSE,FALSE,"5de75a73be3109110266de0a2c4b48d4","Erysipelotrichaceae_UCG-003","Total","No abundance filtering"
TRUE,TRUE,TRUE,TRUE,TRUE,"dc4c06e76c80792a6dd6a5170e96a392","Streptococcus","Total","No abundance filtering"
TRUE,FALSE,TRUE,TRUE,TRUE,"e075d7d3b6ae899ef1e8ccba4cd5114e","Lactococcus","Total","No abundance filtering"
TRUE,TRUE,TRUE,TRUE,TRUE,"46ec4ed0a75b0fcf231f1e4ff262fa8d","P5D1-392","Total","No abundance filtering"
TRUE,FALSE,FALSE,TRUE,FALSE,"ee5be990233f99eded70433e365148ee","Lactobacillales_o","Total","No abundance filtering"
FALSE,FALSE,TRUE,FALSE,FALSE,"d0bbb3cf6f8c4d7a6fdd6a81d94daa81","Marinilactibacillus","Total","No abundance filtering"
FALSE,FALSE,FALSE,FALSE,TRUE,"33a4b160e1f1411ea02ae36df2dcc388","Alkalibacterium","Total","No abundance filtering"
TRUE,TRUE,FALSE,TRUE,TRUE,"3f23ceb1ef108f7ce9cc7e5665c1f6af","Atopostipes","Total","No abundance filtering"
FALSE,FALSE,TRUE,FALSE,FALSE,"f5b86fa349f1d8d5abe6b1f25e437279","Salinicoccus","Total","No abundance filtering"
