"condition_axis","condition_id","distance","pair_class","unit_id","unit_median_distance","pair_count","baseline_distance","absolute_change_from_no_filter","percent_change_from_no_filter"
"filter_at_threshold_0.5_fixed_50_samples","no_filter","binary_jaccard","between_sites_matched_participant_system","S005__Puritan_buffer",0.874074074074074,1,0.874074074074074,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","binary_jaccard","between_sites_matched_participant_system","S005__Puritan_gel",0.899082568807339,1,0.899082568807339,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","binary_jaccard","within_participant_site_between_systems","S001__Antecubital",0.668674698795181,10,0.668674698795181,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","binary_jaccard","within_participant_site_between_systems","S001__Forehead",0.601793909052983,10,0.601793909052983,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","binary_jaccard","within_participant_site_between_systems","S002__Antecubital",0.821602209944751,10,0.821602209944751,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","binary_jaccard","within_participant_site_between_systems","S002__Forehead",0.762121212121212,10,0.762121212121212,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","binary_jaccard","within_participant_site_between_systems","S003__Antecubital",0.881246739697444,10,0.881246739697444,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","binary_jaccard","within_participant_site_between_systems","S003__Forehead",0.810763888888889,10,0.810763888888889,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","binary_jaccard","within_participant_site_between_systems","S004__Antecubital",0.770082454409793,10,0.770082454409793,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","binary_jaccard","within_participant_site_between_systems","S004__Forehead",0.8,10,0.8,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","binary_jaccard","within_participant_site_between_systems","S005__Antecubital",0.822671156004489,10,0.822671156004489,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","binary_jaccard","within_participant_site_between_systems","S005__Forehead",0.879494538786574,10,0.879494538786574,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","aitchison","between_participants_matched_site_system","Antecubital__Copan",52.6843059285546,10,52.6843059285546,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","aitchison","between_participants_matched_site_system","Antecubital__Eswab",49.9461172209897,10,49.9461172209897,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","aitchison","between_participants_matched_site_system","Antecubital__Omni",58.1869416485047,10,58.1869416485047,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","aitchison","between_participants_matched_site_system","Antecubital__Puritan_buffer",52.3933628900118,10,52.3933628900118,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","aitchison","between_participants_matched_site_system","Antecubital__Puritan_gel",48.069721434073,10,48.069721434073,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","aitchison","between_participants_matched_site_system","Forehead__Copan",38.0505685651402,10,38.0505685651402,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","aitchison","between_participants_matched_site_system","Forehead__Eswab",38.0472322072356,10,38.0472322072356,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","aitchison","between_participants_matched_site_system","Forehead__Omni",27.9431948001845,10,27.9431948001845,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","aitchison","between_participants_matched_site_system","Forehead__Puritan_buffer",41.9072238060274,10,41.9072238060274,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","aitchison","between_participants_matched_site_system","Forehead__Puritan_gel",41.0009664709645,10,41.0009664709645,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","aitchison","between_sites_matched_participant_system","S001__Copan",27.0779867610469,1,27.0779867610469,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","aitchison","between_sites_matched_participant_system","S001__Eswab",40.1181482559663,1,40.1181482559663,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","aitchison","between_sites_matched_participant_system","S001__Omni",38.2580506670048,1,38.2580506670048,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","aitchison","between_sites_matched_participant_system","S001__Puritan_buffer",38.4163626261683,1,38.4163626261683,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","aitchison","between_sites_matched_participant_system","S001__Puritan_gel",34.8640104921465,1,34.8640104921465,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","aitchison","between_sites_matched_participant_system","S002__Copan",32.6838842864536,1,32.6838842864536,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","aitchison","between_sites_matched_participant_system","S002__Eswab",26.7633011911943,1,26.7633011911943,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","aitchison","between_sites_matched_participant_system","S002__Omni",35.2403191236724,1,35.2403191236724,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","aitchison","between_sites_matched_participant_system","S002__Puritan_buffer",43.422536485768,1,43.422536485768,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","aitchison","between_sites_matched_participant_system","S002__Puritan_gel",34.8051918694618,1,34.8051918694618,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","aitchison","between_sites_matched_participant_system","S003__Copan",46.5781245070823,1,46.5781245070823,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","aitchison","between_sites_matched_participant_system","S003__Eswab",38.3769675516178,1,38.3769675516178,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","aitchison","between_sites_matched_participant_system","S003__Omni",51.275320905665,1,51.275320905665,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","aitchison","between_sites_matched_participant_system","S003__Puritan_buffer",29.4208887588102,1,29.4208887588102,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","aitchison","between_sites_matched_participant_system","S003__Puritan_gel",24.9638299843014,1,24.9638299843014,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","aitchison","between_sites_matched_participant_system","S004__Copan",61.0717365811857,1,61.0717365811857,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","aitchison","between_sites_matched_participant_system","S004__Eswab",43.5966319922208,1,43.5966319922208,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","aitchison","between_sites_matched_participant_system","S004__Omni",68.9428491707048,1,68.9428491707048,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","aitchison","between_sites_matched_participant_system","S004__Puritan_buffer",61.5917977360482,1,61.5917977360482,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","aitchison","between_sites_matched_participant_system","S004__Puritan_gel",62.1728577506546,1,62.1728577506546,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","aitchison","between_sites_matched_participant_system","S005__Copan",42.2102413989729,1,42.2102413989729,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","aitchison","between_sites_matched_participant_system","S005__Eswab",49.7597495088935,1,49.7597495088935,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","aitchison","between_sites_matched_participant_system","S005__Omni",34.0084288058177,1,34.0084288058177,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","aitchison","between_sites_matched_participant_system","S005__Puritan_buffer",43.9841154005126,1,43.9841154005126,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","aitchison","between_sites_matched_participant_system","S005__Puritan_gel",42.961857519925,1,42.961857519925,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","aitchison","within_participant_site_between_systems","S001__Antecubital",32.8733079216092,10,32.8733079216092,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","aitchison","within_participant_site_between_systems","S001__Forehead",15.7510652285439,10,15.7510652285439,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","aitchison","within_participant_site_between_systems","S002__Antecubital",43.2105310380506,10,43.2105310380506,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","aitchison","within_participant_site_between_systems","S002__Forehead",15.7250041380318,10,15.7250041380318,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","aitchison","within_participant_site_between_systems","S003__Antecubital",47.8321377763374,10,47.8321377763374,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","aitchison","within_participant_site_between_systems","S003__Forehead",19.1380628639148,10,19.1380628639148,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","aitchison","within_participant_site_between_systems","S004__Antecubital",62.6502041777176,10,62.6502041777176,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","aitchison","within_participant_site_between_systems","S004__Forehead",48.3605022742382,10,48.3605022742382,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","aitchison","within_participant_site_between_systems","S005__Antecubital",32.9011031582147,10,32.9011031582147,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","aitchison","within_participant_site_between_systems","S005__Forehead",43.9418490638922,10,43.9418490638922,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","unweighted_unifrac","between_participants_matched_site_system","Antecubital__Copan",0.804813718721013,10,0.804813718721013,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","unweighted_unifrac","between_participants_matched_site_system","Antecubital__Eswab",0.675235404911876,10,0.675235404911876,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","unweighted_unifrac","between_participants_matched_site_system","Antecubital__Omni",0.727624151833423,10,0.727624151833423,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","unweighted_unifrac","between_participants_matched_site_system","Antecubital__Puritan_buffer",0.714539689124599,10,0.714539689124599,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","unweighted_unifrac","between_participants_matched_site_system","Antecubital__Puritan_gel",0.790441013332816,10,0.790441013332816,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","unweighted_unifrac","between_participants_matched_site_system","Forehead__Copan",0.837835722438635,10,0.837835722438635,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","unweighted_unifrac","between_participants_matched_site_system","Forehead__Eswab",0.741779517860757,10,0.741779517860757,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","unweighted_unifrac","between_participants_matched_site_system","Forehead__Omni",0.65417040842155,10,0.65417040842155,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","unweighted_unifrac","between_participants_matched_site_system","Forehead__Puritan_buffer",0.785781579811412,10,0.785781579811412,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","unweighted_unifrac","between_participants_matched_site_system","Forehead__Puritan_gel",0.724367460536758,10,0.724367460536758,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","unweighted_unifrac","between_sites_matched_participant_system","S001__Copan",0.830970840721881,1,0.830970840721881,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","unweighted_unifrac","between_sites_matched_participant_system","S001__Eswab",0.772177464592795,1,0.772177464592795,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","unweighted_unifrac","between_sites_matched_participant_system","S001__Omni",0.605767488512561,1,0.605767488512561,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","unweighted_unifrac","between_sites_matched_participant_system","S001__Puritan_buffer",0.661411920985587,1,0.661411920985587,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","unweighted_unifrac","between_sites_matched_participant_system","S001__Puritan_gel",0.518207922731548,1,0.518207922731548,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","unweighted_unifrac","between_sites_matched_participant_system","S002__Copan",0.70497127328793,1,0.70497127328793,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","unweighted_unifrac","between_sites_matched_participant_system","S002__Eswab",0.692914059519204,1,0.692914059519204,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","unweighted_unifrac","between_sites_matched_participant_system","S002__Omni",0.706184702050735,1,0.706184702050735,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","unweighted_unifrac","between_sites_matched_participant_system","S002__Puritan_buffer",0.790460083375253,1,0.790460083375253,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","unweighted_unifrac","between_sites_matched_participant_system","S002__Puritan_gel",0.694156178620243,1,0.694156178620243,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","unweighted_unifrac","between_sites_matched_participant_system","S003__Copan",0.843138688825123,1,0.843138688825123,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","unweighted_unifrac","between_sites_matched_participant_system","S003__Eswab",0.755360864915162,1,0.755360864915162,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","unweighted_unifrac","between_sites_matched_participant_system","S003__Omni",0.650728491443368,1,0.650728491443368,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","unweighted_unifrac","between_sites_matched_participant_system","S003__Puritan_buffer",0.659017265070775,1,0.659017265070775,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","unweighted_unifrac","between_sites_matched_participant_system","S003__Puritan_gel",0.472104744874901,1,0.472104744874901,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","unweighted_unifrac","between_sites_matched_participant_system","S004__Copan",0.759277670541619,1,0.759277670541619,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","unweighted_unifrac","between_sites_matched_participant_system","S004__Eswab",0.650421538604602,1,0.650421538604602,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","unweighted_unifrac","between_sites_matched_participant_system","S004__Omni",0.782748592218883,1,0.782748592218883,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","unweighted_unifrac","between_sites_matched_participant_system","S004__Puritan_buffer",0.796479178266848,1,0.796479178266848,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","unweighted_unifrac","between_sites_matched_participant_system","S004__Puritan_gel",0.77925028523167,1,0.77925028523167,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","unweighted_unifrac","between_sites_matched_participant_system","S005__Copan",0.733764422909824,1,0.733764422909824,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","unweighted_unifrac","between_sites_matched_participant_system","S005__Eswab",0.62310567501401,1,0.62310567501401,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","unweighted_unifrac","between_sites_matched_participant_system","S005__Omni",0.777072913536115,1,0.777072913536115,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","unweighted_unifrac","between_sites_matched_participant_system","S005__Puritan_buffer",0.672264099549332,1,0.672264099549332,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","unweighted_unifrac","between_sites_matched_participant_system","S005__Puritan_gel",0.785295900952094,1,0.785295900952094,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","unweighted_unifrac","within_participant_site_between_systems","S001__Antecubital",0.543605414769881,10,0.543605414769881,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","unweighted_unifrac","within_participant_site_between_systems","S001__Forehead",0.654117643849617,10,0.654117643849617,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","unweighted_unifrac","within_participant_site_between_systems","S002__Antecubital",0.673076973349345,10,0.673076973349345,0,0
