"sample_name","threshold","threshold_numeric","reads_before","reads_after","reads_removed","removed_pct","subject_id","site_group","swab_type2","control_status"
"003FhRUSw_2","0.8",0.8,14496,8991,5505,37.9759933774834,"S003","Forehead","Puritan_gel","sample"
"003NCXUSw","0.8",0.8,16784,1601,15183,90.4611534795043,"Control","NC","Puritan_buffer","control"
"004AcCUSw","0.8",0.8,19097,8151,10946,57.3179033356025,"S004","Antecubital","Eswab","sample"
"004AcLUSw_3","0.8",0.8,23544,6331,17213,73.109921848454,"S004","Antecubital","Puritan_buffer","sample"
"004AcLUSw_4","0.8",0.8,26755,9667,17088,63.8684358063913,"S004","Antecubital","Omni","sample"
"004AcRUSw_1","0.8",0.8,21430,11973,9457,44.129724685021,"S004","Antecubital","Copan","sample"
"004AcRUSw_2","0.8",0.8,23333,8832,14501,62.1480306861527,"S004","Antecubital","Puritan_gel","sample"
"004FhCUSw","0.8",0.8,21899,2880,19019,86.8487145531759,"S004","Forehead","Eswab","sample"
"004FhLUSw_3","0.8",0.8,11781,7529,4252,36.0920125626008,"S004","Forehead","Puritan_buffer","sample"
"004FhLUSw_4","0.8",0.8,28264,17050,11214,39.6759128219643,"S004","Forehead","Omni","sample"
"004FhRUSw_1","0.8",0.8,18119,7545,10574,58.3586290634141,"S004","Forehead","Copan","sample"
"004FhRUSw_2","0.8",0.8,18028,8469,9559,53.0230752163302,"S004","Forehead","Puritan_gel","sample"
"004NCXUSw","0.8",0.8,15524,1427,14097,90.8077814996135,"Control","NC","Omni","control"
"005AcCUSw","0.8",0.8,15894,13076,2818,17.7299609915691,"S005","Antecubital","Eswab","sample"
"005AcLUSw_3","0.8",0.8,15165,8938,6227,41.061655126937,"S005","Antecubital","Puritan_buffer","sample"
"005AcLUSw_4","0.8",0.8,17054,8442,8612,50.4984167937141,"S005","Antecubital","Omni","sample"
"005AcRUSw_1","0.8",0.8,17943,14615,3328,18.5476230284791,"S005","Antecubital","Copan","sample"
"005AcRUSw_2","0.8",0.8,18217,12804,5413,29.7140034034144,"S005","Antecubital","Puritan_gel","sample"
