"condition_axis","condition_id","distance","variable","n_samples","n_participants","df","pseudo_F","R2","p_value","permutations","permutation_scheme"
"filter_at_threshold_0.5","prevalence_ge_10pct","weighted_unifrac","swab_type2",48,5,4,0.207939348159306,0.0189761360738171,0.9748,9999,"restricted within participant"
"filter_at_threshold_0.5","prevalence_ge_10pct","unweighted_unifrac","subject_id",48,5,4,10.2801895306185,0.488830094262881,1e-04,9999,"unrestricted"
"filter_at_threshold_0.5","prevalence_ge_10pct","unweighted_unifrac","site_group",48,5,1,3.59473346419145,0.0724821611711439,1e-04,9999,"restricted within participant"
"filter_at_threshold_0.5","prevalence_ge_10pct","unweighted_unifrac","swab_type2",48,5,4,0.438279578364605,0.0391730985353754,0.7958,9999,"restricted within participant"
"filter_at_threshold_0.5","prevalence_ge_10pct","bray_curtis","subject_id",48,5,4,8.98782479148293,0.455360450628849,1e-04,9999,"unrestricted"
"filter_at_threshold_0.5","prevalence_ge_10pct","bray_curtis","site_group",48,5,1,6.45636981847835,0.123080759130305,1e-04,9999,"restricted within participant"
"filter_at_threshold_0.5","prevalence_ge_10pct","bray_curtis","swab_type2",48,5,4,0.313113822701697,0.0283025039531982,0.99,9999,"restricted within participant"
"filter_at_threshold_0.5","mean_abundance_ge_0.1pct","weighted_unifrac","subject_id",48,5,4,9.64949568452029,0.473026188183789,1e-04,9999,"unrestricted"
"filter_at_threshold_0.5","mean_abundance_ge_0.1pct","weighted_unifrac","site_group",48,5,1,9.15120819871044,0.165929423807698,1e-04,9999,"restricted within participant"
"filter_at_threshold_0.5","mean_abundance_ge_0.1pct","weighted_unifrac","swab_type2",48,5,4,0.14222524294701,0.0130575010867595,0.9993,9999,"restricted within participant"
"filter_at_threshold_0.5","mean_abundance_ge_0.1pct","unweighted_unifrac","subject_id",48,5,4,19.9784042279714,0.650160811467896,1e-04,9999,"unrestricted"
"filter_at_threshold_0.5","mean_abundance_ge_0.1pct","unweighted_unifrac","site_group",48,5,1,2.90702975701882,0.0594399163363959,1e-04,9999,"restricted within participant"
"filter_at_threshold_0.5","mean_abundance_ge_0.1pct","unweighted_unifrac","swab_type2",48,5,4,0.338166687103228,0.0304979801121274,0.6093,9999,"restricted within participant"
"filter_at_threshold_0.5","mean_abundance_ge_0.1pct","bray_curtis","subject_id",48,5,4,8.72548419192483,0.448023992930697,1e-04,9999,"unrestricted"
"filter_at_threshold_0.5","mean_abundance_ge_0.1pct","bray_curtis","site_group",48,5,1,6.64397794280092,0.126205849224004,1e-04,9999,"restricted within participant"
"filter_at_threshold_0.5","mean_abundance_ge_0.1pct","bray_curtis","swab_type2",48,5,4,0.299750226835558,0.0271273305443213,0.9925,9999,"restricted within participant"
"filter_at_threshold_0.5","mean_abundance_ge_1pct","weighted_unifrac","subject_id",37,5,4,9.93221273596491,0.553875468811768,1e-04,9999,"unrestricted"
"filter_at_threshold_0.5","mean_abundance_ge_1pct","weighted_unifrac","site_group",37,5,1,7.2072754158312,0.170759077548225,1e-04,9999,"restricted within participant"
"filter_at_threshold_0.5","mean_abundance_ge_1pct","weighted_unifrac","swab_type2",37,5,4,0.134104096550146,0.0164866462192219,0.9975,9999,"restricted within participant"
"filter_at_threshold_0.5","mean_abundance_ge_1pct","unweighted_unifrac","subject_id",37,5,4,17.4125788020866,0.685195270330333,1e-04,9999,"unrestricted"
"filter_at_threshold_0.5","mean_abundance_ge_1pct","unweighted_unifrac","site_group",37,5,1,2.84266460405931,0.0751179821453266,1e-04,9999,"restricted within participant"
"filter_at_threshold_0.5","mean_abundance_ge_1pct","unweighted_unifrac","swab_type2",37,5,4,0.385904489253692,0.0460182309193025,0.8088,9999,"restricted within participant"
"filter_at_threshold_0.5","mean_abundance_ge_1pct","bray_curtis","subject_id",37,5,4,7.83839442365815,0.494898296758526,1e-04,9999,"unrestricted"
"filter_at_threshold_0.5","mean_abundance_ge_1pct","bray_curtis","site_group",37,5,1,6.23142552881643,0.151132914976741,1e-04,9999,"restricted within participant"
"filter_at_threshold_0.5","mean_abundance_ge_1pct","bray_curtis","swab_type2",37,5,4,0.309773144469125,0.037278171026282,0.9812,9999,"restricted within participant"
