"ASV","Phylum","Genus","Species","true_sample_reads","control_reads","total_reads","true_sample_prevalence","control_prevalence"
"bbd9195eb175dbfe0bbe51314886d77c","Firmicutes","Staphylococcus","Staphylococcus_g",98,41,139,3,1
"a88501d82852c8fb661d7ef73abff8ae","Proteobacteria","Sphingomonadaceae_f","Sphingomonadaceae_f",100,39,139,4,1
"dee97571c12f48af382cfef94462fd8b","Actinobacteriota","Corynebacterium","Corynebacterium_g",87,43,130,4,1
"3796cea684bec78d8a792f6e55722ecf","Deinococcota","Thermus","Thermus_g",21,108,129,3,2
"2ed9e96ef0789c4431d39ae5891e885a","Proteobacteria","Methylobacterium-Methylorubrum","Methylobacterium-Methylorubrum_g",44,77,121,2,1
"ea60313af371ef09618438a3b908b236","Proteobacteria","Pelomonas","Pelomonas_g",77,43,120,6,1
"5c6bf470e7d8fb12db69d5da4616a9a8","Proteobacteria","Massilia","Massilia_g",95,21,116,3,1
"fbf91904c477c277ba71de6685742761","Proteobacteria","Acinetobacter","Acinetobacter_g",0,116,116,0,2
"82268d528ba3613d1c660eeaaa6acddf","Proteobacteria","Novosphingobium","Novosphingobium_g",75,39,114,2,1
"dd9a2c01f344e41156e03327c89679f6","Deinococcota","Thermus","Thermus_g",0,113,113,0,2
"4678e76b974c53bbd520e17ba70f7e35","Firmicutes","Finegoldia","Finegoldia_g",58,53,111,1,1
"57b856d2ec363466476d1510607da112","Proteobacteria","Gluconobacter","Gluconobacter_g",21,88,109,1,1
"528e92fe752fa87f855f5536b33979d1","Proteobacteria","Pseudomonas","Pseudomonas_g",45,56,101,7,1
"16c7937724ed5bbcc657caae1049b378","Deinococcota","Thermus","Thermus_g",35,63,98,4,3
"3c3534c7e92c582ad869dbc8030c4476","Proteobacteria","Delftia","Delftia_g",0,98,98,0,2
"f687a9c40e82d3510c69f07e7dc29de2","Proteobacteria","Acinetobacter","Acinetobacter_g",37,61,98,3,3
"926700c83bd1d7bda75cc8b4abb7d70f","Proteobacteria","Sphingomonas","Sphingomonas_g",30,66,96,1,1
"b1d400141daf92f660848d86a4555233","Proteobacteria","Sphingomonadaceae_f","Sphingomonadaceae_f",57,36,93,7,4
"c52b0a3bf7a849bef449b135f9c1252d","Proteobacteria","Sphingomonas","Sphingomonas_g",28,65,93,2,1
"025e519fdc62aba6f39ab17117a65353","Deinococcota","Thermus","Thermus_g",46,42,88,3,2
"3941adc1fe9b742248db0935aef3cc16","Deinococcota","Thermus","Thermus_g",12,68,80,1,2
"f879993ce3b93e9a4fa11a03b7d67bda","Proteobacteria","Novosphingobium","Novosphingobium_g",28,51,79,1,1
"f3d9a01f32e11cf7046bf15e69696067","Deinococcota","Thermus","Thermus_g",0,65,65,0,2
"c2c63c49d82da8d91b0d4fa47f0f21de","Deinococcota","Thermus","Thermus_g",49,16,65,2,1
