"filter_id","filter","distance_id","distance","variable_id","variable","n_samples","permutation_strata","Df","SumOfSqs","R2","F","p_value","error"
"prevalence_ge_2","Prevalence >=2 samples","bray","Bray-Curtis","collection_medium","Collection medium",48,"Participant identity",3,0.344977909099338,0.024430991699277,0.367294582485284,0.9721,NA
"prevalence_ge_5","Prevalence >=5 samples","wunifrac","Weighted UniFrac","subject_id","Participant identity",48,"None",4,2.05974135570486,0.483771252947948,10.0741018373897,1e-04,NA
"prevalence_ge_5","Prevalence >=5 samples","wunifrac","Weighted UniFrac","site_group","Anatomical site",48,"Participant identity",1,0.651946179838517,0.15312253618716,8.3171851484833,1e-04,NA
"prevalence_ge_5","Prevalence >=5 samples","wunifrac","Weighted UniFrac","swab_type2","Sampling system",48,"Participant identity",4,0.0807942431563404,0.0189761360738171,0.207939348159306,0.9749,NA
"prevalence_ge_5","Prevalence >=5 samples","wunifrac","Weighted UniFrac","swab_material","Swab-tip material",48,"Participant identity",3,0.0637273771400271,0.0149676429036728,0.222861135141777,0.9374,NA
"prevalence_ge_5","Prevalence >=5 samples","wunifrac","Weighted UniFrac","collection_medium","Collection medium",48,"Participant identity",3,0.0642774316831949,0.0150968341610125,0.224814217317395,0.9443,NA
"prevalence_ge_5","Prevalence >=5 samples","unifrac","Unweighted UniFrac","subject_id","Participant identity",48,"None",4,4.72203201155105,0.488830094262881,10.2801895306185,1e-04,NA
"prevalence_ge_5","Prevalence >=5 samples","unifrac","Unweighted UniFrac","site_group","Anatomical site",48,"Participant identity",1,0.70016778699489,0.0724821611711439,3.59473346419145,1e-04,NA
"prevalence_ge_5","Prevalence >=5 samples","unifrac","Unweighted UniFrac","swab_type2","Sampling system",48,"Participant identity",4,0.378406786829721,0.0391730985353754,0.438279578364605,0.8114,NA
"prevalence_ge_5","Prevalence >=5 samples","unifrac","Unweighted UniFrac","swab_material","Swab-tip material",48,"Participant identity",3,0.311869390557604,0.0322850720221833,0.489311858243384,0.6228,NA
"prevalence_ge_5","Prevalence >=5 samples","unifrac","Unweighted UniFrac","collection_medium","Collection medium",48,"Participant identity",3,0.321240834845803,0.0332552145336219,0.504521104044873,0.5851,NA
"prevalence_ge_5","Prevalence >=5 samples","bray","Bray-Curtis","subject_id","Participant identity",48,"None",4,6.1859430443123,0.455360450628849,8.98782479148293,1e-04,NA
"prevalence_ge_5","Prevalence >=5 samples","bray","Bray-Curtis","site_group","Anatomical site",48,"Participant identity",1,1.67201733215817,0.123080759130305,6.45636981847835,1e-04,NA
"prevalence_ge_5","Prevalence >=5 samples","bray","Bray-Curtis","swab_type2","Sampling system",48,"Participant identity",4,0.384481518375448,0.0283025039531982,0.313113822701697,0.9905,NA
"prevalence_ge_5","Prevalence >=5 samples","bray","Bray-Curtis","swab_material","Swab-tip material",48,"Participant identity",3,0.309090777935014,0.022752830880834,0.341477772253889,0.9598,NA
