"sample_1","sample_2","distance_value","subject_1","site_1","type_1","subject_2","site_2","type_2","same_participant","same_site","same_system","comparison_group","filter_id","filter","distance_id","distance"
"002AcLUSw_3","002AcRUSw_1",0.10484446711351,"S002","Antecubital","Type 3","S002","Antecubital","Type 1",TRUE,TRUE,FALSE,"Within participant/site, between systems","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"002AcLUSw_4","002AcRUSw_1",0.186289697695974,"S002","Antecubital","Type 4","S002","Antecubital","Type 1",TRUE,TRUE,FALSE,"Within participant/site, between systems","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"001AcCUSw","002AcRUSw_2",0.072753072976946,"S001","Antecubital","Type 5","S002","Antecubital","Type 2",FALSE,TRUE,FALSE,"Between participants, same site","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"001AcLUSw_3","002AcRUSw_2",0.0611659909265981,"S001","Antecubital","Type 3","S002","Antecubital","Type 2",FALSE,TRUE,FALSE,"Between participants, same site","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"001AcLUSw_4","002AcRUSw_2",0.0242353475181943,"S001","Antecubital","Type 4","S002","Antecubital","Type 2",FALSE,TRUE,FALSE,"Between participants, same site","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"001AcRUSw_1","002AcRUSw_2",0.108640557249191,"S001","Antecubital","Type 1","S002","Antecubital","Type 2",FALSE,TRUE,FALSE,"Between participants, same site","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"001AcRUSw_2","002AcRUSw_2",0.147715859754694,"S001","Antecubital","Type 2","S002","Antecubital","Type 2",FALSE,TRUE,TRUE,"Between participants, same site","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"001FhCUSw","002AcRUSw_2",0.231505157947637,"S001","Forehead","Type 5","S002","Antecubital","Type 2",FALSE,FALSE,FALSE,"Between participants and sites","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"001FhLUSw_3","002AcRUSw_2",0.1945552532,"S001","Forehead","Type 3","S002","Antecubital","Type 2",FALSE,FALSE,FALSE,"Between participants and sites","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"001FhLUSw_4","002AcRUSw_2",0.182188340133495,"S001","Forehead","Type 4","S002","Antecubital","Type 2",FALSE,FALSE,FALSE,"Between participants and sites","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"001FhRUSw_1","002AcRUSw_2",0.221233455793104,"S001","Forehead","Type 1","S002","Antecubital","Type 2",FALSE,FALSE,FALSE,"Between participants and sites","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"001FhRUSw_2","002AcRUSw_2",0.203523589694863,"S001","Forehead","Type 2","S002","Antecubital","Type 2",FALSE,FALSE,TRUE,"Between participants and sites","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"002AcCUSw","002AcRUSw_2",0.0868735133731369,"S002","Antecubital","Type 5","S002","Antecubital","Type 2",TRUE,TRUE,FALSE,"Within participant/site, between systems","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"002AcLUSw_3","002AcRUSw_2",0.0354177622922721,"S002","Antecubital","Type 3","S002","Antecubital","Type 2",TRUE,TRUE,FALSE,"Within participant/site, between systems","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"002AcLUSw_4","002AcRUSw_2",0.120452980271938,"S002","Antecubital","Type 4","S002","Antecubital","Type 2",TRUE,TRUE,FALSE,"Within participant/site, between systems","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"002AcRUSw_1","002AcRUSw_2",0.0944577259866366,"S002","Antecubital","Type 1","S002","Antecubital","Type 2",TRUE,TRUE,FALSE,"Within participant/site, between systems","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"001AcCUSw","002FhCUSw",0.296950257142103,"S001","Antecubital","Type 5","S002","Forehead","Type 5",FALSE,FALSE,TRUE,"Between participants and sites","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"001AcLUSw_3","002FhCUSw",0.275526193104183,"S001","Antecubital","Type 3","S002","Forehead","Type 5",FALSE,FALSE,FALSE,"Between participants and sites","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"001AcLUSw_4","002FhCUSw",0.2291957154622,"S001","Antecubital","Type 4","S002","Forehead","Type 5",FALSE,FALSE,FALSE,"Between participants and sites","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"001AcRUSw_1","002FhCUSw",0.13707125477787,"S001","Antecubital","Type 1","S002","Forehead","Type 5",FALSE,FALSE,FALSE,"Between participants and sites","no_filter","No additional filter","wunifrac","Weighted UniFrac"
