"filter_id","filter","sample_name","bray_curtis_to_unfiltered","composition_similarity","subject_id","site_group","swab_type2","Type"
"prevalence_ge_2","Prevalence >=2 samples","002FhRUSw_1",0.00300202839756596,0.996997971602434,"S002","Forehead","Copan","Type 1"
"prevalence_ge_2","Prevalence >=2 samples","002FhRUSw_2",3.86055669227494e-05,0.999961394433077,"S002","Forehead","Puritan_gel","Type 2"
"prevalence_ge_2","Prevalence >=2 samples","003AcCUSw",0.0388365424006555,0.961163457599345,"S003","Antecubital","Eswab","Type 5"
"prevalence_ge_2","Prevalence >=2 samples","003AcLUSw_3",0.0308032675289312,0.969196732471069,"S003","Antecubital","Puritan_buffer","Type 3"
"prevalence_ge_2","Prevalence >=2 samples","003AcLUSw_4",0.0789473684210525,0.921052631578947,"S003","Antecubital","Omni","Type 4"
"prevalence_ge_2","Prevalence >=2 samples","003AcRUSw_1",0.0344030459613816,0.965596954038618,"S003","Antecubital","Copan","Type 1"
"prevalence_ge_2","Prevalence >=2 samples","003AcRUSw_2",0.0445182724252492,0.955481727574751,"S003","Antecubital","Puritan_gel","Type 2"
"prevalence_ge_2","Prevalence >=2 samples","003FhCUSw",0.0198368261078228,0.980163173892177,"S003","Forehead","Eswab","Type 5"
"prevalence_ge_2","Prevalence >=2 samples","003FhLUSw_3",0,1,"S003","Forehead","Puritan_buffer","Type 3"
"prevalence_ge_2","Prevalence >=2 samples","003FhLUSw_4",0.0479127134724858,0.952087286527514,"S003","Forehead","Omni","Type 4"
"prevalence_ge_2","Prevalence >=2 samples","003FhRUSw_1",0,1,"S003","Forehead","Copan","Type 1"
"prevalence_ge_2","Prevalence >=2 samples","003FhRUSw_2",0.00132640654360563,0.998673593456394,"S003","Forehead","Puritan_gel","Type 2"
"prevalence_ge_2","Prevalence >=2 samples","004AcCUSw",0.0309659257521553,0.969034074247845,"S004","Antecubital","Eswab","Type 5"
"prevalence_ge_2","Prevalence >=2 samples","004AcLUSw_3",0.0546860946213348,0.945313905378665,"S004","Antecubital","Puritan_buffer","Type 3"
"prevalence_ge_2","Prevalence >=2 samples","004AcLUSw_4",0.0694013832578106,0.930598616742189,"S004","Antecubital","Omni","Type 4"
"prevalence_ge_2","Prevalence >=2 samples","004AcRUSw_1",0.182256355932203,0.817743644067797,"S004","Antecubital","Copan","Type 1"
"prevalence_ge_2","Prevalence >=2 samples","004AcRUSw_2",0.0833865629173684,0.916613437082632,"S004","Antecubital","Puritan_gel","Type 2"
"prevalence_ge_2","Prevalence >=2 samples","004FhCUSw",0.0111907514450867,0.988809248554913,"S004","Forehead","Eswab","Type 5"
"prevalence_ge_2","Prevalence >=2 samples","004FhLUSw_3",0.02630329503371,0.97369670496629,"S004","Forehead","Puritan_buffer","Type 3"
"prevalence_ge_2","Prevalence >=2 samples","004FhLUSw_4",0.0343112492714202,0.96568875072858,"S004","Forehead","Omni","Type 4"
"prevalence_ge_2","Prevalence >=2 samples","004FhRUSw_1",0.0499735389733122,0.950026461026688,"S004","Forehead","Copan","Type 1"
"prevalence_ge_2","Prevalence >=2 samples","004FhRUSw_2",0.0455739972337482,0.954426002766252,"S004","Forehead","Puritan_gel","Type 2"
"prevalence_ge_2","Prevalence >=2 samples","005AcCUSw",0.00415957647948572,0.995840423520514,"S005","Antecubital","Eswab","Type 5"
"prevalence_ge_2","Prevalence >=2 samples","005AcLUSw_3",0.0221861032100772,0.977813896789923,"S005","Antecubital","Puritan_buffer","Type 3"
"prevalence_ge_2","Prevalence >=2 samples","005AcLUSw_4",0.0333703233988586,0.966629676601141,"S005","Antecubital","Omni","Type 4"
"prevalence_ge_2","Prevalence >=2 samples","005AcRUSw_1",0.00372124492557509,0.996278755074425,"S005","Antecubital","Copan","Type 1"
"prevalence_ge_2","Prevalence >=2 samples","005AcRUSw_2",0.00499611413345176,0.995003885866548,"S005","Antecubital","Puritan_gel","Type 2"
"prevalence_ge_2","Prevalence >=2 samples","005FhCUSw",0.218438022450442,0.781561977549558,"S005","Forehead","Eswab","Type 5"
"prevalence_ge_2","Prevalence >=2 samples","005FhLUSw_3",0.0978917378917379,0.902108262108262,"S005","Forehead","Puritan_buffer","Type 3"
