"filter_id","filter","distance_id","distance","comparison_group","n_pairs","mean_distance","median_distance","sd_distance","q25","q75"
"prevalence_ge_2","Prevalence >=2 samples","unifrac","Unweighted UniFrac","Between participants, same site",461,0.698401514904833,0.700502251668209,0.129265833930929,0.610918010866201,0.806143450135318
"prevalence_ge_2","Prevalence >=2 samples","unifrac","Unweighted UniFrac","Within participant, between sites",115,0.629310167693064,0.614405142586874,0.0960418947653088,0.572046979800282,0.68319695463528
"prevalence_ge_2","Prevalence >=2 samples","unifrac","Unweighted UniFrac","Within participant/site, between systems",92,0.502746776831896,0.49375906253088,0.144139137170616,0.428095881388937,0.61628839483568
"prevalence_ge_2","Prevalence >=2 samples","wunifrac","Weighted UniFrac","Between participants and sites",460,0.375852289742682,0.365151558470603,0.143134990421132,0.283879717605596,0.473047336435456
"prevalence_ge_2","Prevalence >=2 samples","wunifrac","Weighted UniFrac","Between participants, same site",461,0.32683035681637,0.35721236036445,0.148872509255235,0.193034979115472,0.446661091100333
"prevalence_ge_2","Prevalence >=2 samples","wunifrac","Weighted UniFrac","Within participant, between sites",115,0.323344834081084,0.332388245044168,0.116270278718011,0.238775688760409,0.40013159129656
"prevalence_ge_2","Prevalence >=2 samples","wunifrac","Weighted UniFrac","Within participant/site, between systems",92,0.150585779651454,0.126894120643664,0.107506158513904,0.0774261166693583,0.191887405319223
"prevalence_ge_5","Prevalence >=5 samples","bray","Bray-Curtis","Between participants and sites",460,0.794027288602125,0.899166099387338,0.205979763567834,0.683798502382573,0.962091558883594
"prevalence_ge_5","Prevalence >=5 samples","bray","Bray-Curtis","Between participants, same site",461,0.717188858978543,0.805650102110279,0.271628290133164,0.609087814840027,0.929884275017018
"prevalence_ge_5","Prevalence >=5 samples","bray","Bray-Curtis","Within participant, between sites",115,0.673818332494747,0.687542545949626,0.225904677593398,0.517018379850238,0.882658270932607
"prevalence_ge_5","Prevalence >=5 samples","bray","Bray-Curtis","Within participant/site, between systems",92,0.319706913901797,0.335772634445201,0.211669878324511,0.105939414567733,0.466303607896528
"prevalence_ge_5","Prevalence >=5 samples","unifrac","Unweighted UniFrac","Between participants and sites",460,0.67046206609841,0.692026186035112,0.149227812132498,0.590308989927963,0.786439906139711
"prevalence_ge_5","Prevalence >=5 samples","unifrac","Unweighted UniFrac","Between participants, same site",461,0.64015370108106,0.642383729057907,0.151339694402314,0.526459098024329,0.769562593403184
"prevalence_ge_5","Prevalence >=5 samples","unifrac","Unweighted UniFrac","Within participant, between sites",115,0.505705130368421,0.498242289309119,0.13230709572488,0.423377439261662,0.588143442570651
"prevalence_ge_5","Prevalence >=5 samples","unifrac","Unweighted UniFrac","Within participant/site, between systems",92,0.391611825423891,0.38244162320307,0.136942892212165,0.312570590335126,0.466713379848332
"prevalence_ge_5","Prevalence >=5 samples","wunifrac","Weighted UniFrac","Between participants and sites",460,0.437483388096373,0.455199203524673,0.157862826656281,0.31359095950613,0.544925475771038
"prevalence_ge_5","Prevalence >=5 samples","wunifrac","Weighted UniFrac","Between participants, same site",461,0.385494524932451,0.419947859867645,0.182057638022457,0.226673427767293,0.53193473248298
"prevalence_ge_5","Prevalence >=5 samples","wunifrac","Weighted UniFrac","Within participant, between sites",115,0.362829365067974,0.341406034288064,0.143748509737821,0.256592423271465,0.460703623402795
"prevalence_ge_5","Prevalence >=5 samples","wunifrac","Weighted UniFrac","Within participant/site, between systems",92,0.163859513279735,0.147797669741059,0.11341688004566,0.0851439783767168,0.201845660231914
"remove_count_le_1","Remove count <=1","bray","Bray-Curtis","Between participants and sites",500,0.815545609257999,0.899421375085092,0.184629899623823,0.729450306330837,0.965239959155888
"remove_count_le_1","Remove count <=1","bray","Bray-Curtis","Between participants, same site",500,0.748675970047652,0.829901293396869,0.25315153504986,0.636487406398911,0.938393464942137
"remove_count_le_1","Remove count <=1","bray","Bray-Curtis","Within participant, between sites",125,0.712800544588155,0.734513274336283,0.212970916880012,0.57998638529612,0.904356705241661
"remove_count_le_1","Remove count <=1","bray","Bray-Curtis","Within participant/site, between systems",100,0.381465282505106,0.419588155207624,0.229189632752151,0.181883934649421,0.569349897889721
"remove_count_le_1","Remove count <=1","unifrac","Unweighted UniFrac","Between participants and sites",500,0.829679673218845,0.849492255783555,0.100916484216948,0.780734554816031,0.900731712055285
