"sample_name","Observed","Shannon","subject_id","site_group","swab_type2","Type","filter_id","filter"
"003FhRUSw_2",6,0.0880280786797301,"S003","Forehead","Puritan_gel","Type 2","remove_count_le_1","Remove count <=1"
"004AcCUSw",146,3.66371077115221,"S004","Antecubital","Eswab","Type 5","remove_count_le_1","Remove count <=1"
"004AcLUSw_3",243,4.00217032205562,"S004","Antecubital","Puritan_buffer","Type 3","remove_count_le_1","Remove count <=1"
"004AcLUSw_4",268,4.50248448919058,"S004","Antecubital","Omni","Type 4","remove_count_le_1","Remove count <=1"
"004AcRUSw_1",208,4.32006041735545,"S004","Antecubital","Copan","Type 1","remove_count_le_1","Remove count <=1"
"004AcRUSw_2",208,4.20755424423835,"S004","Antecubital","Puritan_gel","Type 2","remove_count_le_1","Remove count <=1"
"004FhCUSw",81,1.15417881435384,"S004","Forehead","Eswab","Type 5","remove_count_le_1","Remove count <=1"
"004FhLUSw_3",144,3.18117098302216,"S004","Forehead","Puritan_buffer","Type 3","remove_count_le_1","Remove count <=1"
"004FhLUSw_4",137,3.24779634267656,"S004","Forehead","Omni","Type 4","remove_count_le_1","Remove count <=1"
"004FhRUSw_1",153,3.12410535043125,"S004","Forehead","Copan","Type 1","remove_count_le_1","Remove count <=1"
"004FhRUSw_2",162,3.41593874514367,"S004","Forehead","Puritan_gel","Type 2","remove_count_le_1","Remove count <=1"
"005AcCUSw",33,2.16812981701834,"S005","Antecubital","Eswab","Type 5","remove_count_le_1","Remove count <=1"
"005AcLUSw_3",51,2.63728571343026,"S005","Antecubital","Puritan_buffer","Type 3","remove_count_le_1","Remove count <=1"
"005AcLUSw_4",54,2.39173284492081,"S005","Antecubital","Omni","Type 4","remove_count_le_1","Remove count <=1"
"005AcRUSw_1",37,1.84754560765781,"S005","Antecubital","Copan","Type 1","remove_count_le_1","Remove count <=1"
"005AcRUSw_2",25,1.97332421902777,"S005","Antecubital","Puritan_gel","Type 2","remove_count_le_1","Remove count <=1"
"005FhCUSw",99,3.05140127082855,"S005","Forehead","Eswab","Type 5","remove_count_le_1","Remove count <=1"
"005FhLUSw_3",90,2.4287083796525,"S005","Forehead","Puritan_buffer","Type 3","remove_count_le_1","Remove count <=1"
"005FhLUSw_4",29,1.03904730395522,"S005","Forehead","Omni","Type 4","remove_count_le_1","Remove count <=1"
"005FhRUSw_1",73,1.5095927871904,"S005","Forehead","Copan","Type 1","remove_count_le_1","Remove count <=1"
"005FhRUSw_2",89,2.32630841583853,"S005","Forehead","Puritan_gel","Type 2","remove_count_le_1","Remove count <=1"
"001AcCUSw",103,2.57709287476302,"S001","Antecubital","Eswab","Type 5","remove_count_le_2","Remove count <=2"
"001AcLUSw_3",98,2.68542702726903,"S001","Antecubital","Puritan_buffer","Type 3","remove_count_le_2","Remove count <=2"
"001AcLUSw_4",98,2.54025654480175,"S001","Antecubital","Omni","Type 4","remove_count_le_2","Remove count <=2"
"001AcRUSw_1",62,1.56126023083284,"S001","Antecubital","Copan","Type 1","remove_count_le_2","Remove count <=2"
"001AcRUSw_2",80,2.62054719219255,"S001","Antecubital","Puritan_gel","Type 2","remove_count_le_2","Remove count <=2"
"001FhCUSw",17,0.156333438843506,"S001","Forehead","Eswab","Type 5","remove_count_le_2","Remove count <=2"
"001FhLUSw_3",30,0.546519115361883,"S001","Forehead","Puritan_buffer","Type 3","remove_count_le_2","Remove count <=2"
"001FhLUSw_4",21,0.626538549355448,"S001","Forehead","Omni","Type 4","remove_count_le_2","Remove count <=2"
"001FhRUSw_1",29,0.272177581651304,"S001","Forehead","Copan","Type 1","remove_count_le_2","Remove count <=2"
"001FhRUSw_2",26,0.446217995866665,"S001","Forehead","Puritan_gel","Type 2","remove_count_le_2","Remove count <=2"
"002AcCUSw",52,2.14750331716369,"S002","Antecubital","Eswab","Type 5","remove_count_le_2","Remove count <=2"
